,name,vicinity,Latitude,Longitude,rating,types,business_status
28,Mr Liquor Potts Point,"204 Victoria Street, Potts Point",-33.8737527,151.22274309999997,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
29,Liquorland Kings Cross,"82-94 Darlinghurst Road, Potts Point",-33.87528020000001,151.2224814,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
30,BWS Potts Point,"Icon Building, 81 MacLeay Street, Potts Point",-33.870096999999994,151.22522769999998,,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
31,Contact Bar & Kitchen,"88 Crown Street, Woolloomooloo",-33.8731035,151.21673090000002,,"[""restaurant"",""bar"",""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
32,Darlinghurst Fine Wines,"407 Bourke Street, Darlinghurst",-33.88168710000001,151.2163699,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
33,BWS Paddington South Dowling St,"306 South Dowling Street, Paddington",-33.88327930000001,151.218793,,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
34,BWS Edgecliff,"203-233 New South Head Road, Edgecliff",-33.8790644,151.235611,,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
35,Liquorland Edgecliff,"Shop 2 Eastpoint Food Fair, 251 New South Head Road, Edgecliff",-33.8794348,151.2366007,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
36,Paddington Fine Wines,"356 Oxford Street, Paddington",-33.88640460000001,151.229772,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
37,Liquorland Express Sydney World Square,"21a/650 George Street, Sydney",-33.8770922,151.2067941,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
38,Two Eights Australia Pty Ltd,"Level 33/31 Market Street, Sydney",-33.8711542,151.2059056,,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
39,Mr Liquor Circular Quay,"Shop E7 Jetty 3, Circular Quay West, Sydney",-33.86143320000001,151.21139630000002,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
40,Barrica Wines,"6 Bulletin Place, Sydney",-33.8624533,151.20951440000002,,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
41,Evershine,"398 Sussex Street, Sydney",-33.8780115,151.2049396,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
42,Kweichow Moutai,"2/398 Sussex Street, Haymarket",-33.878023999999996,151.204875,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
43,Dan Murphy's Double Bay,"1 Kiaora Road, Double Bay",-33.8786524,151.243625,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
44,Market City Tavern,"9-13 Hay Street, Haymarket",-33.880224,151.203848,,"[""bar"",""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
45,Moncur Cellars,"116 Queen Street, Woollahra",-33.8883065,151.2369862,,"[""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
46,BWS Haymarket,"61-79 Quay Street, Haymarket",-33.8811106,151.2026979,,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
47,Local Liquor,"1/17/19 Macarthur Street, Sydney",-33.8806965,151.1964529,,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
48,Liquorland Redfern,"Shop 25 Surry Hills Shopping Centre Corner Cleveland Street And, Baptist Street, Redfern",-33.8917032,151.2123549,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
49,Bottlemart Express - The Norfolk Hotel,"305 Cleveland Street, Redfern",-33.89068879999999,151.2092197,,"[""liquor_store"",""lodging"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
50,IGA X-press plus Liquor,"1-29 Bunn Street, Pyrmont",-33.871772899999996,151.1972863,,"[""supermarket"",""grocery_or_supermarket"",""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
51,Beer Barrel,"103 Regent Street, Chippendale",-33.8871815,151.20152219999997,,"[""liquor_store"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
52,Liquorland Pyrmont,"Shop Lg12 50-72 Union And, Edward Street, Pyrmont",-33.869451299999994,151.1962569,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
53,Gin Heaven,"100A Bellevue Road, Bellevue Hill",-33.88233140000001,151.2516626,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
54,Bellevue Hill Bottle Shop,"100B Bellevue Road, Bellevue Hill",-33.8823427,151.2519072,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
55,Vintage Cellars Waterloo,"Shop 2 Danks Street Shopping Centre, 782 Bourke Street, Waterloo",-33.89759490000001,151.2128852,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
56,WineGrowers Direct,"66 Bay Street, Ultimo",-33.8827447,151.1949863,,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
57,Liquorland Broadway,"The Broadway Shopping Centre, shop g9/213 Broadway, Glebe",-33.88370099999999,151.1945283,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
58,Liquorland Bondi Junction,"Ebley Street, Bondi Junction",-33.8925476,151.24807080000002,,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
59,Mc Guigan Wines,"51 Darling Street, Balmain East",-33.8572499,151.1934014,,"[""bar"",""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
